,default_cat,pdays_cat,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job,marital,education,housing,loan,contact,month,day_of_week,poutcome,age,campaign,previous
7108,no,0,1.1,93.994,-36.4,4.86,5191.0,entrepreneur,married,basic.9y,no,no,telephone,may,thu,nonexistent,59,4,0
31608,no,0,-1.8,92.893,-46.2,1.327,5099.1,blue-collar,married,basic.9y,yes,no,cellular,may,thu,nonexistent,31,1,0
21647,no,0,1.4,93.444,-36.1,4.963,5228.1,admin.,single,university.degree,yes,no,cellular,aug,tue,nonexistent,32,1,0
24600,no,0,-0.1,93.2,-42.0,4.191,5195.8,admin.,divorced,high.school,yes,no,cellular,nov,mon,failure,42,2,1
31475,no,0,-1.8,92.893,-46.2,1.334,5099.1,unemployed,married,basic.9y,yes,no,cellular,may,wed,nonexistent,44,2,0
14951,no,0,1.4,93.918,-42.7,4.957,5228.1,technician,single,professional.course,no,yes,cellular,jul,wed,nonexistent,26,2,0
21170,no,0,1.4,93.444,-36.1,4.963,5228.1,admin.,divorced,university.degree,no,no,cellular,aug,mon,nonexistent,38,2,0
9303,unknown|yes,0,1.4,94.465,-41.8,4.967,5228.1,services,single,high.school,yes,no,telephone,jun,fri,nonexistent,29,3,0
12961,no,0,1.4,93.918,-42.7,4.962,5228.1,blue-collar,married,university.degree,yes,no,cellular,jul,tue,nonexistent,41,1,0
35906,no,0,-1.8,92.893,-46.2,1.264,5099.1,admin.,single,university.degree,yes,no,cellular,may,mon,nonexistent,26,5,0
27108,no,0,-0.1,93.2,-42.0,4.021,5195.8,admin.,divorced,university.degree,yes,no,cellular,nov,fri,nonexistent,42,1,0
9334,unknown|yes,0,1.4,94.465,-41.8,4.967,5228.1,blue-collar,married,high.school,no,no,telephone,jun,fri,nonexistent,38,1,0
33707,no,0,-1.8,92.893,-46.2,1.281,5099.1,self-employed,married,basic.9y,yes,no,cellular,may,wed,nonexistent,27,1,0
27784,no,0,-1.8,92.843,-50.0,1.687,5099.1,management,single,university.degree,yes,no,cellular,mar,tue,nonexistent,32,3,0
36377,no,0,-2.9,92.963,-40.8,1.262,5076.2,self-employed,single,university.degree,no,no,cellular,jun,tue,nonexistent,27,1,0
13401,unknown|yes,0,1.4,93.918,-42.7,4.962,5228.1,blue-collar,married,basic.4y,yes,no,cellular,jul,wed,nonexistent,40,4,0
41173,no,0,-1.1,94.767,-50.8,1.031,4963.6,retired,married,university.degree,yes,no,cellular,nov,thu,failure,62,1,2
5246,no,0,1.1,93.994,-36.4,4.857,5191.0,entrepreneur,married,university.degree,no,no,telephone,may,fri,nonexistent,49,1,0
1716,unknown|yes,0,1.1,93.994,-36.4,4.855,5191.0,blue-collar,married,high.school,yes,no,telephone,may,fri,nonexistent,32,1,0
36167,no,3,-1.8,92.893,-46.2,1.27,5099.1,self-employed,single,university.degree,no,no,cellular,may,wed,success,26,1,1
20492,no,0,1.4,93.444,-36.1,4.966,5228.1,admin.,married,university.degree,no,yes,cellular,aug,tue,nonexistent,33,2,0
27403,no,0,-0.1,93.2,-42.0,4.021,5195.8,blue-collar,married,basic.6y,no,yes,cellular,nov,fri,nonexistent,44,3,0
20088,no,0,1.4,93.444,-36.1,4.965,5228.1,blue-collar,married,basic.4y,yes,no,cellular,aug,mon,nonexistent,50,1,0
28724,no,0,-1.8,93.075,-47.1,1.41,5099.1,admin.,single,university.degree,no,no,cellular,apr,thu,nonexistent,29,4,0
16826,no,0,1.4,93.918,-42.7,4.962,5228.1,blue-collar,married,basic.9y,no,no,cellular,jul,thu,nonexistent,58,1,0
19814,no,0,1.4,93.444,-36.1,4.966,5228.1,admin.,married,professional.course,no,no,cellular,aug,fri,nonexistent,36,1,0
19596,no,0,1.4,93.444,-36.1,4.968,5228.1,technician,married,professional.course,yes,no,cellular,aug,thu,nonexistent,48,2,0
